[36m2025-12-26 01:19:43,623[0m - [32m__main__[0m - ERROR - Failed to register with STUN server. Exiting.
2025-12-26 03:17:00,617 - client.file_transfer - ERROR - Error receiving file: [WinError 32] The process cannot access the file because it is being used by another process: './received_files\\test_1.txt'
2025-12-26 03:17:17,898 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:17:17,899 - client.file_transfer - INFO - File sent successfully: test.txt
2025-12-26 03:17:24,608 - client.file_transfer - INFO - Receiving file: test.txt
2025-12-26 03:17:24,608 - client.file_transfer - INFO - Saving to: ./received_files\test_1.txt
2025-12-26 03:17:24,608 - __main__ - ERROR - Error receiving file data: Extra data: line 1 column 121 (char 120)
2025-12-26 03:17:24,609 - client.file_transfer - ERROR - Missing chunk 0
2025-12-26 03:17:24,609 - client.file_transfer - ERROR - Error receiving file: [WinError 32] The process cannot access the file because it is being used by another process: './received_files\\test_1.txt'
2025-12-26 03:17:32,556 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:17:32,557 - client.file_transfer - INFO - File sent successfully: test.txt
2025-12-26 03:17:37,190 - client.file_transfer - INFO - Receiving file: test.txt
2025-12-26 03:17:37,190 - client.file_transfer - INFO - Saving to: ./received_files\test_1.txt
2025-12-26 03:17:37,190 - __main__ - ERROR - Error receiving file data: Extra data: line 1 column 121 (char 120)
2025-12-26 03:17:37,192 - client.file_transfer - ERROR - Missing chunk 0
2025-12-26 03:17:37,192 - client.file_transfer - ERROR - Error receiving file: [WinError 32] The process cannot access the file because it is being used by another process: './received_files\\test_1.txt'
2025-12-26 03:18:05,610 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:18:07,672 - client.network - ERROR - Registration failed (Status 409): {"detail":"Peer 'user02' already registered"}
2025-12-26 03:18:07,674 - __main__ - ERROR - Failed to register with STUN server. Exiting.
2025-12-26 03:18:12,581 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2025-12-26 03:18:14,653 - client.network - INFO - Registered as 'user04' with STUN server
2025-12-26 03:18:14,655 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
2025-12-26 03:18:23,616 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 59743)
2025-12-26 03:18:53,041 - client.file_transfer - INFO - Sending file: test.txt (42 bytes)
2025-12-26 03:18:53,042 - client.file_transfer - INFO - File sent successfully: test.txt
